player,percentage_service,games_won_service,games_total_service,matches,year,surface
Fernando Gonzalez,85.63%,286,334,29,2005,Clay
Roger Federer,85.22%,173,203,17,2005,Clay
Rafael Nadal,83.97%,461,549,52,2005,Clay
Max Mirnyi,81.73%,85,104,10,2005,Clay
Mariano Puerta,81.04%,406,501,41,2005,Clay
Thomas Johansson,80.13%,125,156,14,2005,Clay
Radek Stepanek,79.83%,190,238,18,2005,Clay
Fernando Verdasco,79.80%,241,302,26,2005,Clay
Stan Wawrinka,79.57%,148,186,16,2005,Clay
Jose Acasuso,79.52%,264,332,30,2005,Clay
Richard Gasquet,79.44%,143,180,18,2005,Clay
Victor Hanescu,79.40%,239,301,27,2005,Clay
Carlos Moya,79.32%,257,324,26,2005,Clay
Marat Safin,78.53%,128,163,12,2005,Clay
Sebastien Grosjean,78.43%,160,204,18,2005,Clay
Guillermo Canas,78.35%,181,231,20,2005,Clay
Mario Ancic,77.69%,101,130,11,2005,Clay
Guillermo Coria,77.42%,312,403,36,2005,Clay
Juan Carlos Ferrero,77.27%,255,330,31,2005,Clay
Mariano Zabaleta,77.13%,226,293,27,2005,Clay
Gaston Gaudio,77.09%,414,537,50,2005,Clay
Nicolas Almagro,77.08%,259,336,29,2005,Clay
Agustin Calleri,76.53%,212,277,27,2005,Clay
Nikolay Davydenko,76.04%,292,384,35,2005,Clay
Feliciano Lopez,75.90%,126,166,15,2005,Clay
Tommy Haas,75.42%,135,179,18,2005,Clay
Tomas Berdych,75.00%,171,228,23,2005,Clay
Luis Horna,75.00%,189,252,21,2005,Clay
Andre Agassi,75.00%,90,120,10,2005,Clay
Igor Andreev,74.93%,287,383,33,2005,Clay
Andreas Seppi,74.78%,169,226,22,2005,Clay
Albert Costa,74.62%,194,260,22,2005,Clay
Ruben Ramirez Hidalgo,74.19%,69,93,10,2005,Clay
Nicolas Massu,73.93%,190,257,23,2005,Clay
Tommy Robredo,73.28%,255,348,30,2005,Clay
Filippo Volandri,73.08%,304,416,43,2005,Clay
Albert Montanes,73.01%,211,289,25,2005,Clay
Nicolas Lapentti,72.46%,100,138,13,2005,Clay
David Nalbandian,72.34%,102,141,12,2005,Clay
Nicolas Kiefer,72.18%,96,133,13,2005,Clay
Felix Mantilla,71.94%,223,310,26,2005,Clay
Peter Luczak,71.54%,88,123,10,2005,Clay
Alberto Martin,71.30%,241,338,34,2005,Clay
Juan Monaco,71.04%,211,297,28,2005,Clay
Davide Sanguinetti,70.94%,144,203,18,2005,Clay
Jurgen Melzer,70.69%,164,232,18,2005,Clay
David Ferrer,70.34%,313,445,40,2005,Clay
Andrei Pavel,70.11%,122,174,17,2005,Clay
Potito Starace,70.08%,185,264,26,2005,Clay
Jarkko Nieminen,69.42%,168,242,22,2005,Clay
Razvan Sabau,69.12%,94,136,12,2005,Clay
Jiri Vanek,69.11%,132,191,16,2005,Clay
Jiri Novak,69.06%,183,265,23,2005,Clay
Mikhail Youzhny,69.05%,87,126,12,2005,Clay
Joachim Johansson,69.05%,58,84,10,2005,Clay
Stefan Koubek,69.03%,78,113,10,2005,Clay
Dominik Hrbaty,68.99%,89,129,12,2005,Clay
Ricardo Mello,68.75%,77,112,15,2005,Clay
Tomas Behrend,68.53%,98,143,12,2005,Clay
Florent Serra,68.50%,87,127,11,2005,Clay
Alex Calatrava,68.05%,115,169,15,2005,Clay
Paul-Henri Mathieu,67.89%,148,218,24,2005,Clay
Florian Mayer,67.82%,177,261,24,2005,Clay
Tomas Zib,67.76%,124,183,20,2005,Clay
Santiago Ventura,67.32%,138,205,19,2005,Clay
Janko Tipsarevic,67.29%,72,107,13,2005,Clay
Guillermo Garcia-Lopez,66.40%,166,250,25,2005,Clay
David Sanchez,66.40%,164,247,21,2005,Clay
Oscar Hernandez,65.89%,141,214,19,2005,Clay
Philipp Kohlschreiber,64.71%,77,119,11,2005,Clay
Juan Ignacio Chela,64.19%,138,215,19,2005,Clay
Christophe Rochus,63.56%,143,225,23,2005,Clay
Olivier Rochus,63.49%,80,126,14,2005,Clay
Gael Monfils,61.70%,87,141,13,2005,Clay
Rainer Schuettler,61.15%,85,139,12,2005,Clay
Gustavo Kuerten,57.14%,52,91,14,2005,Clay
