player,percentage_service,games_won_service,games_total_service,matches,surface,percentage_return,games_won_return,games_total_return
Paradorn Srichaphan,79.51,"3,819","4,803",397,All,21.08,"1,003","4,759"
Igor Andreev,79.50,"4,385","5,516",442,All,21.41,"1,182","5,521"
Marcelo Rios,79.49,"4,993","6,281",540,All,28.74,"1,811","6,302"
Alexandr Dolgopolov,79.44,"3,973","5,001",412,All,21.87,"1,097","5,016"
David Wheaton,79.41,"3,189","4,016",313,All,23.03,927,"4,026"
Jakob Hlasek,79.37,"2,947","3,713",301,All,21.90,813,"3,713"
Cedric Pioline,79.15,"6,395","8,080",636,All,23.65,"1,897","8,020"
Karel Novacek,79.15,"2,961","3,741",308,All,24.37,916,"3,759"
Pablo Cuevas,79.14,"3,342","4,223",349,All,21.05,894,"4,248"
Yevgeny Kafelnikov,78.99,"8,198","10,379",837,All,27.61,"2,812","10,183"
Michael Chang,78.90,"7,416","9,399",773,All,31.64,"2,921","9,232"
Agustin Calleri,78.82,"3,636","4,613",382,All,24.12,"1,123","4,656"
Sebastien Grosjean,78.69,"5,568","7,076",558,All,26.71,"1,883","7,051"
Tommy Robredo,78.41,"8,338","10,634",871,All,25.49,"2,729","10,706"
Richard Fromberg,78.30,"4,365","5,575",439,All,21.03,"1,165","5,540"
Paul-Henri Mathieu,78.19,"5,431","6,946",569,All,21.46,"1,467","6,835"
Xavier Malisse,78.18,"5,170","6,613",546,All,24.13,"1,606","6,655"
Nicolas Kiefer,78.01,"5,707","7,316",612,All,25.49,"1,835","7,199"
Chris Woodruff,78.00,"2,056","2,636",208,All,24.31,642,"2,641"
Nicolas Escude,77.86,"2,715","3,487",282,All,25.04,864,"3,450"
Robby Ginepri,77.72,"3,775","4,857",390,All,22.89,"1,105","4,828"
Robin Haase,77.69,"4,199","5,405",430,All,20.63,"1,120","5,430"
Petr Korda,77.64,"4,931","6,351",512,All,28.46,"1,790","6,290"
David Goffin,77.63,"3,356","4,323",356,All,27.44,"1,199","4,370"
Amos Mansdorf,77.63,"1,971","2,539",212,All,24.99,632,"2,529"
Albert Costa,77.61,"5,980","7,705",638,All,26.74,"2,052","7,675"
Jurgen Melzer,77.59,"6,061","7,812",631,All,22.64,"1,776","7,843"
David Ferrer,77.56,"9,933","12,807","1,069",All,31.43,"3,983","12,671"
Jose Acasuso,77.54,"3,224","4,158",366,All,22.93,960,"4,187"
Magnus Norman,77.51,"3,708","4,784",402,All,25.50,"1,220","4,784"
Nikolay Davydenko,77.44,"7,114","9,187",787,All,29.94,"2,768","9,246"
Brett Steven,77.39,"2,718","3,512",289,All,24.23,838,"3,458"
Mikhail Youzhny,77.37,"8,395","10,851",882,All,25.32,"2,741","10,825"
Arnaud Boetsch,77.34,"3,474","4,492",382,All,25.73,"1,156","4,492"
Mariano Puerta,77.32,"2,121","2,743",238,All,22.26,610,"2,740"
David Nalbandian,77.30,"5,274","6,823",544,All,30.12,"2,060","6,840"
